cardNo,cvv,cardType,expiry,customer_id
4405106445307000,889,visa-electron,1/16/2016,93
3553109835080023,630,jcb,1/3/2014,102
4911835212360803,243,switch,9/14/2013,59
3742833976790771,598,americanexpress,10/5/2014,148
3547617362761848,832,jcb,6/4/2015,155
3552906424532475,673,jcb,5/28/2016,149
3534425507046140,593,jcb,8/18/2016,80
4041379758742887,722,visa,8/3/2015,171
2016383400866301,019,diners-club-enroute,4/24/2015,60
3537735981581025,308,jcb,11/8/2014,138
3742883746856091,988,americanexpress,8/4/2014,75
5307201062336444,777,mastercard,1/25/2015,7
5610726121533658,830,bankcard,1/17/2016,133
5641825387144430,398,switch,5/1/2014,174
4917900363831509,774,visa-electron,12/1/2013,92
3588788540914706,807,jcb,6/9/2013,56
3742886815457361,995,americanexpress,10/26/2015,183
5458732603252184,953,mastercard,9/29/2013,66
5002350066977956,479,mastercard,5/9/2016,131
4175008784575312,124,visa-electron,5/24/2014,100
3568888445830900,112,jcb,11/18/2014,77
3723011266651261,966,americanexpress,2/2/2016,67
3581013826259990,660,jcb,5/24/2016,182
4026402267954469,646,visa-electron,9/7/2016,120
3058265590878911,058,diners-club-carte-blanche,1/14/2016,183
6370203977783116,506,instapayment,7/27/2014,195
5602248739780902,554,bankcard,3/27/2014,138
3566608837619477,878,jcb,7/10/2013,76
4903977387342824,703,switch,8/31/2016,16
3653768026043611,338,diners-club-international,3/31/2013,15
6334646908090076,251,solo,6/25/2015,181
3528693944094423,529,jcb,9/10/2013,54
5108759290702977,460,mastercard,10/2/2013,158
6334393824855490,848,solo,7/12/2013,32
3586376983918913,486,jcb,9/29/2016,166
3583084013279727,646,jcb,8/7/2015,150
5602253737449484,569,bankcard,12/20/2013,2
3551799574634485,327,jcb,6/16/2016,107
3562109400711852,966,jcb,4/3/2013,112
5610424152639921,900,bankcard,7/22/2013,110
3040378282547511,398,diners-club-carte-blanche,2/27/2016,60
3567816195669286,107,jcb,4/4/2016,171
4026781011947964,780,visa-electron,2/19/2016,21
3570687112735913,876,jcb,5/14/2015,40
